,Cell,Gene,Kruskal,FCCorr,ProfCorr,CellCorr,Ratio,Total
11023,monocytes_macs_DCs,ZFC3H1,0,0,1,0,0,1
11024,gi_epithelial,PROK2,1,0,1,1,1,4
11025,monocytes_macs_DCs,PROK2,1,0,1,1,1,4
11026,B_cells,ZNF524,1,1,0,1,0,3
11027,gi_epithelial,ZNF524,1,0,1,0,0,2
11028,gi_epithelial,PRRX1,1,0,1,1,1,4
11029,stromal,PRRX1,1,0,1,1,1,4
11030,gi_epithelial,PRSS12,1,0,1,0,0,2
11031,neuroendocrine,PRSS12,1,0,1,1,0,3
11032,B_cells,TMPRSS4,1,1,1,0,1,4
11033,gi_epithelial,TMPRSS4,1,1,1,1,0,4
11034,B_cells,TMBIM6,0,0,1,1,0,2
11035,gi_epithelial,TMBIM6,0,0,1,0,0,1
11036,B_cells,STARD5,1,0,0,0,0,1
11037,gi_epithelial,STARD5,1,0,1,0,0,2
11038,B_cells,SUCLG2,1,0,0,0,1,2
11039,gi_epithelial,SUCLG2,1,0,1,0,0,2
11040,B_cells,SUPT5H,1,0,1,1,0,3
11041,gi_epithelial,SUPT5H,1,0,1,0,0,2
11042,B_cells,TAGAP,1,0,1,1,0,3
11043,gi_epithelial,TAGAP,1,0,1,1,1,4
11044,B_cells,TARS1,1,0,1,0,0,2
11045,stromal,TARS1,1,0,0,1,1,3
11046,B_cells,TCTN3,1,1,1,1,0,4
11047,gi_epithelial,TCTN3,1,0,1,0,0,2
11048,B_cells,TECPR1,1,0,1,1,0,3
11049,gi_epithelial,TECPR1,1,0,1,0,0,2
11050,B_cells,TIMM13,1,0,0,0,0,1
11051,cd8_Tcells,TIMM13,1,0,1,1,1,4
11052,B_cells,TM9SF3,1,0,0,0,1,2
11053,gi_epithelial,TM9SF3,1,0,1,0,0,2
11054,B_cells,TMED10,0,1,1,0,0,2
11055,monocytes_macs_DCs,TMED10,0,1,1,1,0,3
11056,B_cells,TMPO,1,0,0,1,0,2
11057,cd8_Tcells,TMPO,1,0,1,1,0,3
11058,B_cells,TMED2,1,1,1,1,0,4
11059,gi_epithelial,TMED2,1,0,1,0,0,2
11060,B_cells,TMED9,0,1,1,0,0,2
11061,monocytes_macs_DCs,TMED9,0,1,1,1,0,3
11062,B_cells,TMEM101,0,1,0,0,0,1
11063,gi_epithelial,TMEM101,0,0,0,0,0,0
11064,B_cells,TMEM19,1,0,1,0,0,2
11065,gi_epithelial,TMEM19,1,0,1,1,0,3
11066,B_cells,TMEM208,1,0,1,1,0,3
11067,fibroblasts,TMEM208,1,0,1,1,0,3
11068,B_cells,TMEM214,1,1,0,0,0,2
11069,gi_epithelial,TMEM214,1,0,1,0,0,2
11070,B_cells,TMEM238,1,1,1,1,0,4
11071,gi_epithelial,TMEM238,1,0,1,0,0,2
11072,B_cells,TMEM258,1,0,1,1,0,3
11073,myofibroblasts,TMEM258,1,0,1,1,0,3
11074,B_cells,TMEM59,0,0,0,0,0,0
11075,gi_epithelial,TMEM59,0,0,1,0,0,1
11076,B_cells,ZNF526,1,0,1,0,0,2
11077,gi_epithelial,ZNF526,1,0,1,0,0,2
11078,myofibroblasts,ABHD2,1,0,0,0,0,1
11079,gi_epithelial,ABHD2,1,0,1,0,0,2
11080,B_cells,NDUFB7,1,0,1,1,0,3
11081,cd8_Tcells,NDUFB7,1,0,1,1,1,4
11082,myofibroblasts,ACAN,0,0,0,0,0,0
11083,stromal,ACAN,0,1,0,1,1,3
11084,myofibroblasts,C5orf15,1,1,0,1,0,3
11085,neuroendocrine,C5orf15,1,1,1,1,0,4
11086,myofibroblasts,CAP2,1,0,1,0,0,2
11087,gi_epithelial,CAP2,1,0,1,0,0,2
11088,myofibroblasts,CCDC50,0,1,1,1,0,3
11089,gi_epithelial,CCDC50,0,1,1,1,0,3
11090,myofibroblasts,CCDC74A,0,0,0,0,0,0
11091,gi_epithelial,CCDC74A,0,0,1,1,0,2
11092,myofibroblasts,CDC14B,0,0,0,0,0,0
11093,gi_epithelial,CDC14B,0,0,1,0,0,1
11094,myofibroblasts,CDH11,1,1,1,1,0,4
11095,gi_epithelial,CDH11,1,1,1,0,1,4
11096,myofibroblasts,CDKN2AIP,0,1,0,0,0,1
11097,neuroendocrine,CDKN2AIP,0,1,0,0,0,1
11098,myofibroblasts,CEMIP2,0,1,1,1,1,4
11099,gi_epithelial,CEMIP2,0,1,1,1,0,3
11100,myofibroblasts,CKMT2,1,0,0,0,0,1
11101,gi_epithelial,CKMT2,1,0,1,1,1,4
11102,myofibroblasts,CLEC2B,1,0,1,0,1,3
11103,gi_epithelial,CLEC2B,1,0,1,0,1,3
11104,gi_epithelial,RPS2,0,0,1,0,0,1
11105,endothelial,RPS2,0,1,1,1,0,3
11106,myofibroblasts,CMTM3,1,1,1,1,0,4
11107,gi_epithelial,CMTM3,1,1,1,0,1,4
11108,myofibroblasts,CNN1,0,0,1,0,0,1
11109,stromal,CNN1,0,1,1,1,1,4
11110,myofibroblasts,CNPY3,1,0,1,0,0,2
11111,gi_epithelial,CNPY3,1,0,1,1,0,3
11112,myofibroblasts,COL5A1,1,0,0,1,0,2
11113,gi_epithelial,COL5A1,1,0,1,0,1,3
11114,myofibroblasts,COQ9,1,0,0,1,0,2
11115,gi_epithelial,COQ9,1,0,1,0,0,2
11116,myofibroblasts,CREB5,1,0,1,0,1,3
